"country","iso_code","date","daily_vaccinations_per_million","Oxford/AstraZeneca","Pfizer/BioNTech","Sinopharm/Beijing","Sinovac","SputnikV","Johnson&Johnson","Moderna","Covaxin","Sinopharm/Wuhan","Abdala","Soberana02","QazVac","Sinopharm/HayatVax","CanSino","EpiVacCorona","RBD-Dimer","continent"
"Albania","ALB","2021-03-06",301,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-07",291,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-08",281,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-09",285,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-10",289,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-11",298,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-12",307,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-13",362,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-14",417,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-15",473,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-16",528,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-17",583,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-18",681,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-19",778,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-20",829,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-21",880,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-22",931,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-23",1006,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-24",1024,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-25",1142,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-26",1138,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-27",1082,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-28",1626,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-29",2503,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-30",3357,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-31",4212,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
